ShopID,ShopNumber,ShopName,ShopKind,ShopPrice,ShopImage,ShopObj,IsOpen,
101,1111,running,Normal,100,lake,Shop_boxcolor,True,
102,1112,qqqq,Normal,100,lake,Shop_boxcolor,True,
103,1113,aaaa,Normal,100,lake,Shop_boxcolor,True,
104,1114,gggg,Normal,100,lake,Shop_boxcolor,True,
105,1115,ddddd,Normal,100,lake,Shop_boxcolor,True,
106,1116,tttt,Active,100,lake,Shop_boxcolor,True,
107,1117,ddddd,Active,100,qwer,Shop_boxcolor,True,
108,1118,tttt,Active,100,qwer,Shop_boxcolor,True,
109,1119,ddddd,Active,100,qwer,Shop_boxcolor,True,
110,1120,tttt,Active,100,qwer,Shop_boxcolor,True,
111,1121,ddddd,Active,100,qwer,Shop_boxcolor,True,
112,1122,tttt,Active,100,qwer,Shop_boxcolor,True,
113,1123,ddddd,Active,100,qwer,Shop_boxcolor,True,
114,1124,tttt,Active,100,qwer,Shop_boxcolor,True,
